iter	RMSE
0	1.593851586
1	1.525302914
2	1.467629025
3	1.418458475
4	1.378196053
5	1.340294321
6	1.309854434
7	1.281584667
8	1.25313539
9	1.229576918
10	1.209440514
11	1.189921425
12	1.16711208
13	1.147628033
14	1.132798678
15	1.116628343
16	1.103064771
17	1.091295034
18	1.078605452
19	1.068450791
20	1.058184506
21	1.047536095
22	1.037516501
23	1.029301287
24	1.020916103
25	1.012833524
26	1.006566575
27	0.9998570505
28	0.9929812804
29	0.9848683632
30	0.9788664137
31	0.973085826
32	0.9664770812
33	0.9554064319
34	0.9492375128
35	0.9381924069
36	0.933049742
37	0.9283040919
38	0.9233665494
39	0.9149316354
40	0.9102233393
41	0.9041349284
42	0.8971412064
43	0.8924309451
44	0.8884847703
45	0.884165354
46	0.8791599558
47	0.8716212437
48	0.8674336403
49	0.8637457495
50	0.8603248655
51	0.8562440806
52	0.8527304811
53	0.8490257045
54	0.8458675756
55	0.8415011774
56	0.8380492615
57	0.8352945309
58	0.8324404097
59	0.8296028723
60	0.8264598975
61	0.8237919061
62	0.8211624265
63	0.8184166073
64	0.8143393592
65	0.8109651455
66	0.8087044278
67	0.8044685596
68	0.8017105827
69	0.7994381895
70	0.7942925965
71	0.7919287386
72	0.7895177721
73	0.7875163346
74	0.7853942134
75	0.7833765252
76	0.7783174642
77	0.7730920059
78	0.7703959927
79	0.7685270516
80	0.7667249964
81	0.7646668288
82	0.762810301
83	0.7604802184
84	0.758018147
85	0.756315466
86	0.7547421581
87	0.7530080388
88	0.751478267
89	0.7485120451
90	0.7464897939
91	0.7447483997
92	0.7432869532
93	0.7412298871
94	0.737820325
95	0.7351132586
96	0.7330200696
97	0.7316108178
98	0.7301829016
99	0.7282837886
100	0.7268420995
101	0.7256096439
102	0.723191638
103	0.7219086479
104	0.7197857675
105	0.7178075366
106	0.7159385891
107	0.7143796689
108	0.7131624689
109	0.7119821454
110	0.7094558096
111	0.7074284073
112	0.7063403314
113	0.7052399235
114	0.7031525548
115	0.7021131698
116	0.7007833059
117	0.6992015739
118	0.6980560999
119	0.6965939008
120	0.6952772381
121	0.6934324829
122	0.692218943
123	0.6909436403
124	0.6893619011
125	0.6884239909
126	0.6873906464
127	0.686539863
128	0.6851216776
129	0.6835774425
130	0.6823840271
131	0.681411899
132	0.680148646
133	0.6789542351
134	0.6778334192
135	0.6767664398
136	0.6759498319
137	0.6744951355
138	0.6732021984
139	0.6722726692
140	0.6712713279
141	0.6701081722
142	0.6687709626
143	0.6680389859
144	0.6669213463
145	0.6658706012
146	0.6646962413
147	0.6637225384
148	0.6628352016
149	0.6615432947
150	0.6608787353
151	0.6600153331
152	0.6591530094
153	0.6583048324
154	0.657392142
155	0.6567188662
156	0.6559535947
157	0.6548721015
158	0.6534303321
159	0.652079401
160	0.6511022427
161	0.6504795038
162	0.6490992811
163	0.6484142202
164	0.6476788503
165	0.6470011354
166	0.6462274919
167	0.6451582324
168	0.6440549708
169	0.6431791348
170	0.6424613721
171	0.641573115
172	0.6403611884
173	0.6394598311
174	0.6383573633
175	0.6377747299
176	0.6369581775
177	0.6362313581
178	0.635538063
179	0.6347567716
180	0.6338953786
181	0.6331785608
182	0.6324077593
183	0.6316324683
184	0.631123001
185	0.6303052873
186	0.6296438636
187	0.6289274466
188	0.6278802168
189	0.6270607533
190	0.6261929137
191	0.6254948958
192	0.6247573511
193	0.6240622424
194	0.6234986778
195	0.6228471417
196	0.6223796886
197	0.6216314978
198	0.6207163934
199	0.6202833903
200	0.619553953
201	0.6190143667
202	0.6180758511
203	0.6173431755
204	0.6167545678
205	0.6163045009
206	0.6152069515
207	0.6146546431
208	0.6140242998
209	0.6133318689
210	0.6129131134
211	0.6124420095
212	0.611824678
213	0.6111714604
214	0.6105856395
215	0.6099724816
216	0.6093774971
217	0.6088767956
218	0.6082041103
219	0.6076957633
220	0.6070638636
221	0.6064587403
222	0.6058973494
223	0.6051200454
224	0.6045409383
225	0.6040283903
226	0.6034732764
227	0.6028292927
228	0.6024109335
229	0.6018591056
230	0.6014223999
231	0.6006947131
232	0.6002590094
233	0.5998368385
234	0.5993891583
235	0.598868589
236	0.5984335273
237	0.5980376766
238	0.5976717358
239	0.5971719209
240	0.5965482601
241	0.5961489396
242	0.5953495917
243	0.5948419517
244	0.5943714873
245	0.5938735029
246	0.5933956299
247	0.5928999437
248	0.5924678665
249	0.5918577717
250	0.5914745507
251	0.591115072
252	0.5906295527
253	0.5902301502
254	0.5896731526
255	0.5892158084
256	0.5888637795
257	0.5884048229
258	0.5877710079
259	0.5872874106
260	0.5868754404
261	0.5865004915
262	0.5860484458
263	0.5855411437
264	0.5849847573
265	0.584461582
266	0.5838522702
267	0.5835492079
268	0.5829439105
269	0.5824533369
270	0.5820743373
271	0.5815630996
272	0.5810949754
273	0.5807066735
274	0.5803472081
275	0.5799736711
276	0.5795624662
277	0.5791779423
278	0.5787282937
279	0.5782991991
280	0.5779025364
281	0.5774705305
282	0.5770925681
283	0.5767516546
284	0.5764705212
285	0.5759002305
286	0.5754490988
287	0.5752052238
288	0.5746499058
289	0.5743042725
290	0.5738551032
291	0.5735223448
292	0.5731672006
293	0.5728066953
294	0.5725295406
295	0.572217917
296	0.5718733938
297	0.5714966461
298	0.5711795843
299	0.5708633938
300	0.5704903104
301	0.5701107449
302	0.5696882497
303	0.5693749041
304	0.5690171606
305	0.568587421
306	0.5683459975
307	0.568113694
308	0.5677459854
309	0.5673862145
310	0.5670632313
311	0.566665089
312	0.566330989
313	0.5660319438
314	0.5657210782
315	0.5654409284
316	0.5650751432
317	0.564765798
318	0.564418122
319	0.5641254028
320	0.5637146728
321	0.5633284602
322	0.5629846772
323	0.5625686814
324	0.5622335916
325	0.5619763003
326	0.5616897775
327	0.5613491261
328	0.5610826452
329	0.5607882454
330	0.5605378482
331	0.560251508
332	0.5599148753
333	0.5596589589
334	0.559314845
335	0.5590019664
336	0.5587263528
337	0.5584841216
338	0.5581083481
339	0.5578155927
340	0.5575610433
341	0.5571632382
342	0.5568266477
343	0.5565462295
344	0.5562058327
345	0.5559462194
346	0.5556340758
347	0.5553570484
348	0.5551128497
349	0.5548851026
350	0.5545466315
351	0.5542118478
352	0.5539561335
353	0.5536485444
354	0.5534048822
355	0.5531845071
356	0.5529032054
357	0.5526648325
358	0.5524109297
359	0.5518385902
360	0.5516164605
361	0.5513639751
362	0.5511503039
363	0.5509348433
364	0.5506226801
365	0.5502774855
366	0.550014142
367	0.549658722
368	0.549300046
369	0.5490108625
370	0.5487833323
371	0.5485243989
372	0.5482487483
373	0.5480094167
374	0.5477079088
375	0.5473841066
376	0.5472262267
377	0.5470031117
378	0.5467131526
379	0.5463456808
380	0.545972681
381	0.5458553347
382	0.5456029355
383	0.5453795427
384	0.545087626
385	0.5448657809
386	0.5446242619
387	0.5444271724
388	0.544148447
389	0.5439242141
390	0.5436927293
391	0.5434509398
392	0.5430874095
393	0.5428340051
394	0.5426110732
395	0.5424163616
396	0.542199111
397	0.5419084572
398	0.5416712434
399	0.541442196
400	0.5412149322
401	0.540751185
402	0.5405572525
403	0.5403444977
404	0.5400836836
405	0.5398697823
406	0.5395715171
407	0.5393823409
408	0.5391291339
409	0.5388527795
410	0.5386245003
411	0.5382246785
412	0.5380472189
413	0.5378326478
414	0.5374304053
415	0.5371762042
416	0.5370236501
417	0.5368028833
418	0.5364996306
419	0.5362714123
420	0.5359910737
421	0.5356845943
422	0.5354676278
423	0.5352834112
424	0.5351056819
425	0.5349206855
426	0.5346618778
427	0.5344615226
428	0.5343045766
429	0.534097161
430	0.5338997212
431	0.5336583672
432	0.5334280206
433	0.5332257062
434	0.5329007983
435	0.5326728955
436	0.5324972042
437	0.5322877563
438	0.5320937946
439	0.5318850035
440	0.5317685963
441	0.5315338474
442	0.5313862326
443	0.5312120662
444	0.5309613239
445	0.5307357472
446	0.530478581
447	0.5302116812
448	0.5299122311
449	0.5297288046
450	0.5295529461
451	0.5293219693
452	0.5291134445
453	0.5289279611
454	0.528623063
455	0.5284013961
456	0.5281895012
457	0.5279767168
458	0.527826038
459	0.527649223
460	0.5273720446
461	0.5271839278
462	0.5269916278
463	0.5267099318
464	0.5264824866
465	0.5262795363
466	0.5259731244
467	0.5258018442
468	0.525571317
469	0.5253457593
470	0.525190578
471	0.5250276142
472	0.5248405708
473	0.5246909054
474	0.5245047086
475	0.5243500771
476	0.5241628348
477	0.52398023
478	0.5238146019
479	0.5235988932
480	0.5233585944
481	0.5231576467
482	0.5229509558
483	0.5227554967
484	0.5225779193
485	0.5223950891
486	0.5219908652
487	0.521851952
488	0.5216609886
489	0.521545158
490	0.5213661225
491	0.5211641455
492	0.5208933675
493	0.5207161454
494	0.520556826
495	0.520409085
496	0.52020208
497	0.5200049417
498	0.5198597798
499	0.5197099513
500	0.5195133932
501	0.5193400485
502	0.5191507271
503	0.5189496718
504	0.5188155936
505	0.5186305653
506	0.5183886993
507	0.5182262717
508	0.518073094
509	0.5179313836
510	0.5177275944
511	0.5174909556
512	0.5172953775
513	0.5171177567
514	0.5169627271
515	0.5168191532
516	0.5165783836
517	0.5164409176
518	0.5162757227
519	0.5161072676
520	0.5159429027
