iter	Passed	Remaining
0	149	148954
1	162	81094
2	176	58503
3	190	47338
4	203	40532
5	218	36116
6	232	32928
7	246	30575
8	261	28802
9	276	27340
10	291	26175
11	306	25216
12	320	24295
13	333	23512
14	348	22876
15	361	22221
16	374	21629
17	388	21179
18	402	20761
19	415	20338
20	428	19992
21	442	19664
22	457	19421
23	470	19146
24	484	18896
25	497	18645
26	511	18429
27	524	18205
28	537	18007
29	550	17795
30	564	17630
31	577	17469
32	590	17305
33	608	17278
34	622	17157
35	635	17004
36	649	16893
37	662	16783
38	676	16660
39	688	16533
40	701	16406
41	713	16279
42	726	16166
43	738	16051
44	752	15968
45	765	15879
46	778	15784
47	791	15703
48	804	15610
49	821	15608
50	838	15603
51	851	15515
52	864	15441
53	878	15384
54	891	15317
55	905	15258
56	918	15201
57	931	15129
58	944	15069
59	958	15022
60	972	14967
61	987	14934
62	1001	14891
63	1015	14848
64	1028	14798
65	1043	14766
66	1058	14734
67	1072	14699
68	1086	14656
69	1101	14630
70	1115	14599
71	1130	14568
72	1143	14515
73	1157	14485
74	1170	14440
75	1183	14392
76	1196	14342
77	1209	14292
78	1222	14255
79	1236	14220
80	1250	14182
81	1263	14147
82	1277	14114
83	1291	14078
84	1303	14033
85	1316	13988
86	1328	13946
87	1342	13913
88	1354	13868
89	1368	13833
90	1381	13794
91	1394	13759
92	1407	13730
93	1420	13689
94	1433	13653
95	1448	13639
96	1464	13633
97	1478	13608
98	1492	13579
99	1506	13558
100	1520	13529
101	1533	13499
102	1546	13470
103	1560	13446
104	1573	13411
105	1588	13393
106	1601	13364
107	1615	13341
108	1628	13315
109	1643	13294
110	1656	13264
111	1669	13238
112	1683	13215
113	1697	13189
114	1710	13163
115	1724	13142
116	1736	13107
117	1750	13081
118	1763	13053
119	1776	13027
120	1789	12997
121	1801	12965
122	1814	12938
123	1828	12915
124	1848	12941
125	1861	12909
126	1874	12888
127	1888	12867
128	1903	12849
129	1916	12823
130	1929	12797
131	1942	12775
132	1956	12752
133	1970	12732
134	1984	12712
135	1997	12692
136	2011	12668
137	2025	12650
138	2040	12637
139	2054	12620
140	2069	12609
141	2083	12591
142	2097	12571
143	2112	12556
144	2126	12537
145	2140	12518
146	2154	12500
147	2169	12489
148	2183	12468
149	2197	12452
150	2212	12440
151	2228	12430
152	2241	12409
153	2255	12391
154	2268	12366
155	2283	12353
156	2296	12330
157	2310	12310
158	2323	12287
159	2336	12269
160	2350	12246
161	2363	12226
162	2376	12202
163	2389	12178
164	2402	12157
165	2415	12136
166	2429	12117
167	2443	12099
168	2457	12084
169	2470	12059
170	2484	12043
171	2498	12028
172	2511	12007
173	2525	11989
174	2539	11972
175	2554	11958
176	2567	11938
177	2581	11921
178	2594	11897
179	2607	11877
180	2620	11859
181	2634	11840
182	2646	11816
183	2659	11793
184	2672	11772
185	2686	11757
186	2700	11741
187	2713	11721
188	2726	11700
189	2741	11686
190	2754	11667
191	2767	11647
192	2781	11629
193	2794	11609
194	2807	11591
195	2820	11571
196	2833	11551
197	2849	11543
198	2863	11526
199	2877	11508
200	2890	11488
201	2903	11470
202	2917	11454
203	2931	11438
204	2944	11420
205	2959	11406
206	2975	11397
207	2989	11382
208	3002	11362
209	3016	11345
210	3029	11329
211	3044	11315
212	3058	11302
213	3072	11286
214	3087	11271
215	3101	11256
216	3115	11240
217	3128	11222
218	3141	11203
219	3156	11189
220	3171	11178
221	3183	11157
222	3196	11138
223	3209	11118
224	3222	11098
225	3234	11077
226	3247	11058
227	3260	11039
228	3276	11031
229	3290	11015
230	3303	10998
231	3317	10981
232	3331	10966
233	3343	10946
234	3356	10927
235	3370	10910
236	3384	10894
237	3398	10882
238	3411	10862
239	3424	10843
240	3438	10827
241	3451	10810
242	3465	10794
243	3478	10778
244	3491	10760
245	3504	10741
246	3517	10723
247	3530	10706
248	3544	10689
249	3556	10670
250	3569	10652
251	3584	10639
252	3598	10626
253	3613	10612
254	3627	10597
255	3641	10581
256	3655	10568
257	3670	10555
258	3684	10542
259	3701	10533
260	3715	10519
261	3729	10503
262	3744	10492
263	3758	10478
264	3773	10465
265	3788	10454
266	3803	10441
267	3819	10431
268	3833	10418
269	3847	10401
270	3864	10394
271	3878	10379
272	3893	10367
273	3906	10351
274	3919	10333
275	3932	10316
276	3946	10300
277	3960	10286
278	3974	10271
279	3989	10259
280	4003	10244
281	4017	10228
282	4031	10215
283	4046	10200
284	4059	10185
285	4073	10170
286	4088	10156
287	4102	10142
288	4116	10128
289	4130	10113
290	4143	10096
291	4157	10080
292	4171	10065
293	4184	10048
294	4197	10032
295	4210	10014
296	4224	9998
297	4238	9984
298	4251	9968
299	4267	9958
300	4280	9940
301	4293	9923
302	4306	9905
303	4320	9891
304	4335	9879
305	4351	9868
306	4367	9857
307	4379	9839
308	4393	9823
309	4406	9807
310	4421	9794
311	4436	9782
312	4451	9769
313	4464	9752
314	4476	9735
315	4489	9718
316	4503	9702
317	4516	9685
318	4528	9668
319	4542	9652
320	4554	9634
321	4568	9619
322	4582	9605
323	4597	9592
324	4611	9578
325	4625	9563
326	4639	9548
327	4652	9532
328	4666	9518
329	4680	9502
330	4693	9485
331	4706	9469
332	4719	9452
333	4731	9435
334	4745	9419
335	4758	9404
336	4772	9389
337	4785	9372
338	4798	9355
339	4812	9342
340	4827	9328
341	4842	9316
342	4856	9303
343	4876	9298
344	4890	9285
345	4904	9269
346	4917	9253
347	4930	9236
348	4944	9223
349	4959	9209
350	4971	9192
351	4986	9180
352	5000	9164
353	5014	9150
354	5028	9136
355	5042	9121
356	5056	9106
357	5069	9090
358	5082	9074
359	5095	9059
360	5110	9045
361	5123	9029
362	5137	9014
363	5150	8998
364	5162	8982
365	5175	8965
366	5190	8951
367	5203	8936
368	5219	8924
369	5232	8909
370	5245	8892
371	5257	8876
372	5271	8861
373	5285	8846
374	5298	8830
375	5313	8817
376	5328	8806
377	5342	8790
378	5355	8774
379	5368	8759
380	5382	8745
381	5396	8730
382	5408	8713
383	5422	8698
384	5437	8685
385	5451	8671
386	5464	8656
387	5478	8640
388	5491	8625
389	5505	8611
390	5519	8597
391	5534	8584
392	5548	8570
393	5562	8554
394	5574	8538
395	5588	8523
396	5601	8507
397	5615	8493
398	5628	8477
399	5641	8461
400	5654	8446
401	5667	8430
402	5680	8414
403	5693	8399
404	5706	8383
405	5720	8369
406	5732	8352
407	5746	8337
408	5759	8322
409	5772	8307
410	5786	8292
411	5799	8277
412	5812	8261
413	5827	8247
414	5842	8235
415	5856	8221
416	5870	8207
417	5887	8197
418	5903	8186
419	5919	8174
420	5935	8163
421	5952	8152
422	5967	8140
423	5987	8133
424	6000	8118
425	6015	8105
426	6030	8092
427	6045	8079
428	6059	8064
429	6073	8050
430	6087	8036
431	6101	8021
432	6114	8006
433	6127	7991
434	6141	7976
435	6155	7963
436	6170	7949
437	6184	7934
438	6196	7918
439	6210	7903
440	6224	7889
441	6237	7874
442	6250	7858
443	6263	7843
444	6277	7829
445	6290	7813
446	6304	7799
447	6317	7783
448	6330	7768
449	6343	7753
450	6356	7737
451	6370	7723
452	6384	7709
453	6398	7695
454	6413	7682
455	6427	7668
456	6442	7654
457	6455	7639
458	6469	7625
459	6483	7611
460	6497	7596
461	6510	7581
462	6523	7566
463	6537	7552
464	6551	7538
465	6565	7523
466	6578	7507
467	6591	7492
468	6604	7477
469	6618	7463
470	6631	7448
471	6644	7432
472	6656	7416
473	6670	7401
474	6682	7386
475	6695	7370
476	6709	7356
477	6722	7341
478	6735	7326
479	6749	7311
480	6761	7295
481	6774	7280
482	6787	7265
483	6800	7250
484	6815	7236
485	6829	7223
486	6843	7208
487	6856	7193
488	6870	7179
489	6883	7164
490	6901	7154
491	6916	7141
492	6931	7128
493	6947	7115
494	6962	7102
495	6977	7090
496	6993	7078
497	7009	7065
498	7025	7053
499	7042	7042
500	7057	7028
501	7072	7016
502	7087	7003
503	7102	6989
504	7117	6976
505	7132	6963
506	7147	6950
507	7162	6937
508	7177	6923
509	7191	6909
510	7206	6896
511	7222	6883
512	7237	6870
513	7252	6857
514	7267	6844
515	7281	6829
516	7295	6815
517	7309	6801
518	7325	6788
519	7340	6775
520	7354	6762
521	7372	6750
522	7386	6736
523	7400	6723
524	7416	6710
525	7431	6696
526	7447	6684
527	7462	6671
528	7476	6656
529	7492	6644
530	7505	6628
531	7519	6614
532	7534	6601
533	7549	6587
534	7566	6576
535	7581	6562
536	7595	6548
537	7610	6535
538	7625	6521
539	7639	6507
540	7654	6494
541	7670	6481
542	7684	6467
543	7700	6454
544	7716	6441
545	7731	6428
546	7747	6415
547	7761	6401
548	7776	6388
549	7792	6375
550	7806	6361
551	7822	6348
552	7837	6335
553	7852	6321
554	7869	6309
555	7885	6296
556	7900	6283
557	7919	6273
558	7934	6259
559	7950	6246
560	7963	6232
561	7977	6217
562	7991	6202
563	8006	6189
564	8019	6174
565	8034	6160
566	8048	6146
567	8062	6131
568	8077	6118
569	8092	6105
570	8107	6090
571	8122	6077
572	8137	6063
573	8152	6050
574	8168	6037
575	8184	6024
576	8199	6011
577	8213	5996
578	8229	5983
579	8242	5969
580	8257	5955
581	8273	5941
582	8288	5928
583	8304	5915
584	8319	5901
585	8334	5888
586	8349	5874
587	8365	5861
588	8381	5848
589	8397	5835
590	8416	5824
591	8430	5810
592	8443	5795
593	8456	5780
594	8470	5765
595	8483	5750
596	8496	5735
597	8510	5721
598	8523	5706
599	8537	5691
600	8551	5677
601	8565	5662
602	8580	5649
603	8596	5636
604	8611	5622
605	8625	5608
606	8640	5594
607	8655	5580
608	8670	5566
609	8684	5552
610	8699	5538
611	8713	5524
612	8729	5511
613	8745	5497
614	8760	5483
615	8774	5469
