,date,Phase,Intensev1,Intensev2
0,9/1/2020 0:00,1e phase,0,0
1,9/1/2020 1:00,1e phase,0,0
2,9/1/2020 2:00,1e phase,0,0
3,9/1/2020 3:00,1e phase,0,0
4,9/1/2020 4:00,1e phase,0,0
5,9/1/2020 5:00,1e phase,0,0
6,9/1/2020 6:00,1e phase,0,0
7,9/1/2020 7:00,1e phase,0,0
8,9/1/2020 8:00,1e phase,0,0
9,9/1/2020 9:00,1e phase,0,0
10,9/1/2020 10:00,1e phase,0,0
11,9/1/2020 11:00,1e phase,0,0
12,9/1/2020 12:00,1e phase,0,0
13,9/1/2020 13:00,1e phase,0,0
14,9/1/2020 14:00,1e phase,0,0
15,9/1/2020 15:00,1e phase,0,0
16,9/1/2020 16:00,1e phase,0,0
17,9/1/2020 17:00,1e phase,0,0
18,9/1/2020 18:00,1e phase,0,0
19,9/1/2020 19:00,1e phase,0,0
20,9/1/2020 20:00,1e phase,0,0
21,9/1/2020 21:00,1e phase,0,0
22,9/1/2020 22:00,1e phase,0,0
23,9/1/2020 23:00,1e phase,0,0
24,9/2/2020 0:00,1e phase,0,0
25,9/2/2020 1:00,1e phase,0,0
26,9/2/2020 2:00,1e phase,0,0
27,9/2/2020 3:00,1e phase,0,0
28,9/2/2020 4:00,1e phase,0,0
29,9/2/2020 5:00,1e phase,0,0
30,9/2/2020 6:00,1e phase,0,0
31,9/2/2020 7:00,1e phase,0,0
32,9/2/2020 8:00,1e phase,0,0
33,9/2/2020 9:00,1e phase,0,0
34,9/2/2020 10:00,1e phase,0,0
35,9/2/2020 11:00,1e phase,0,0
36,9/2/2020 12:00,1e phase,0,0
37,9/2/2020 13:00,1e phase,0,0
38,9/2/2020 14:00,1e phase,0,0
39,9/2/2020 15:00,1e phase,0,0
40,9/2/2020 16:00,1e phase,0,0
41,9/2/2020 17:00,1e phase,0,0
42,9/2/2020 18:00,1e phase,0,0
43,9/2/2020 19:00,1e phase,0,0
44,9/2/2020 20:00,1e phase,0,0
45,9/2/2020 21:00,1e phase,0,0
46,9/2/2020 22:00,1e phase,0,0
47,9/2/2020 23:00,1e phase,0,0
48,9/3/2020 0:00,1e phase,0,0
49,9/3/2020 1:00,1e phase,0,0
50,9/3/2020 2:00,1e phase,0,0
51,9/3/2020 3:00,1e phase,0,0
52,9/3/2020 4:00,1e phase,0,0
53,9/3/2020 5:00,1e phase,0,0
54,9/3/2020 6:00,1e phase,0,0
55,9/3/2020 7:00,1e phase,0,0
56,9/3/2020 8:00,1e phase,0,0
57,9/3/2020 9:00,1e phase,0,0
58,9/3/2020 10:00,1e phase,0,0
59,9/3/2020 11:00,1e phase,0,0
60,9/3/2020 12:00,1e phase,0,0
61,9/3/2020 13:00,1e phase,0,0
62,9/3/2020 14:00,1e phase,0,0
63,9/3/2020 15:00,1e phase,0,0
64,9/3/2020 16:00,1e phase,0,0
65,9/3/2020 17:00,1e phase,0,0
66,9/3/2020 18:00,1e phase,0,0
67,9/3/2020 19:00,1e phase,0,0
68,9/3/2020 20:00,1e phase,0,0
69,9/3/2020 21:00,1e phase,0,0
70,9/3/2020 22:00,1e phase,0,0
71,9/3/2020 23:00,1e phase,0,0
72,9/4/2020 0:00,1e phase,0,0
73,9/4/2020 1:00,1e phase,0,0
74,9/4/2020 2:00,1e phase,0,0
75,9/4/2020 3:00,1e phase,0,0
76,9/4/2020 4:00,1e phase,0,0
77,9/4/2020 5:00,1e phase,0,0
78,9/4/2020 6:00,1e phase,0,0
79,9/4/2020 7:00,1e phase,0,0
80,9/4/2020 8:00,1e phase,0,0
81,9/4/2020 9:00,1e phase,0,0
82,9/4/2020 10:00,1e phase,0,0
83,9/4/2020 11:00,1e phase,0,0
84,9/4/2020 12:00,1e phase,0,0
85,9/4/2020 13:00,1e phase,0,0
86,9/4/2020 14:00,1e phase,0,0
87,9/4/2020 15:00,1e phase,0,0
88,9/4/2020 16:00,1e phase,0,0
89,9/4/2020 17:00,1e phase,0,0
90,9/4/2020 18:00,1e phase,0,0
91,9/4/2020 19:00,1e phase,0,0
92,9/4/2020 20:00,1e phase,0,0
93,9/4/2020 21:00,1e phase,0,0
94,9/4/2020 22:00,1e phase,0,0
95,9/4/2020 23:00,1e phase,0,0
96,9/5/2020 0:00,1e phase,0,0
97,9/5/2020 1:00,1e phase,0,0
98,9/5/2020 2:00,1e phase,0,0
99,9/5/2020 3:00,1e phase,0,0
100,9/5/2020 4:00,1e phase,0,0
101,9/5/2020 5:00,1e phase,0,0
102,9/5/2020 6:00,1e phase,0,0
103,9/5/2020 7:00,1e phase,0,0
104,9/5/2020 8:00,1e phase,0,0
105,9/5/2020 9:00,1e phase,0,0
106,9/5/2020 10:00,1e phase,0,0
107,9/5/2020 11:00,1e phase,0,0
108,9/5/2020 12:00,1e phase,0,0
109,9/5/2020 13:00,1e phase,0,0
110,9/5/2020 14:00,1e phase,0,0
111,9/5/2020 15:00,1e phase,0,0
112,9/5/2020 16:00,1e phase,0,0
113,9/5/2020 17:00,1e phase,0,0
114,9/5/2020 18:00,1e phase,0,0
115,9/5/2020 19:00,1e phase,0,0
116,9/5/2020 20:00,1e phase,0,0
117,9/5/2020 21:00,1e phase,0,0
118,9/5/2020 22:00,1e phase,0,0
119,9/5/2020 23:00,1e phase,0,0
120,9/6/2020 0:00,1e phase,0,0
121,9/6/2020 1:00,1e phase,0,0
122,9/6/2020 2:00,1e phase,0,0
123,9/6/2020 3:00,1e phase,0,0
124,9/6/2020 4:00,1e phase,0,0
125,9/6/2020 5:00,1e phase,0,0
126,9/6/2020 6:00,1e phase,0,0
127,9/6/2020 7:00,1e phase,0,0
128,9/6/2020 8:00,1e phase,0,0
129,9/6/2020 9:00,1e phase,0,0
130,9/6/2020 10:00,1e phase,0,0
131,9/6/2020 11:00,1e phase,0,0
132,9/6/2020 12:00,1e phase,0,0
133,9/6/2020 13:00,1e phase,0,0
134,9/6/2020 14:00,1e phase,0,0
135,9/6/2020 15:00,1e phase,0,0
136,9/6/2020 16:00,1e phase,0,0
137,9/6/2020 17:00,1e phase,0,0
138,9/6/2020 18:00,1e phase,0,0
139,9/6/2020 19:00,1e phase,0,0
140,9/6/2020 20:00,1e phase,0,0
141,9/6/2020 21:00,1e phase,0,0
142,9/6/2020 22:00,1e phase,0,0
143,9/6/2020 23:00,1e phase,0,0
144,9/7/2020 0:00,1e phase,0,0
145,9/7/2020 1:00,1e phase,0,0
146,9/7/2020 2:00,1e phase,0,0
147,9/7/2020 3:00,1e phase,0,0
148,9/7/2020 4:00,1e phase,0,0
149,9/7/2020 5:00,1e phase,0,0
150,9/7/2020 6:00,1e phase,0,0
151,9/7/2020 7:00,1e phase,0,0
152,9/7/2020 8:00,1e phase,0,0
153,9/7/2020 9:00,1e phase,0,0
154,9/7/2020 10:00,1e phase,0,0
155,9/7/2020 11:00,1e phase,0,0
156,9/7/2020 12:00,1e phase,0,0
157,9/7/2020 13:00,1e phase,0,0
158,9/7/2020 14:00,1e phase,0,0
159,9/7/2020 15:00,1e phase,0,0
160,9/7/2020 16:00,1e phase,0,0
161,9/7/2020 17:00,1e phase,0,0
162,9/7/2020 18:00,1e phase,0,0
163,9/7/2020 19:00,1e phase,0,0
164,9/7/2020 20:00,1e phase,0,0
165,9/7/2020 21:00,1e phase,0,0
166,9/7/2020 22:00,1e phase,0,0
167,9/7/2020 23:00,1e phase,0,0
168,9/8/2020 0:00,1e phase,0,0
169,9/8/2020 1:00,1e phase,0,0
170,9/8/2020 2:00,1e phase,0,0
171,9/8/2020 3:00,1e phase,0,0
172,9/8/2020 4:00,1e phase,0,0
173,9/8/2020 5:00,1e phase,0,0
174,9/8/2020 6:00,1e phase,0,0
175,9/8/2020 7:00,1e phase,0,0
176,9/8/2020 8:00,1e phase,0,0
177,9/8/2020 9:00,1e phase,0,0
178,9/8/2020 10:00,1e phase,0,0
179,9/8/2020 11:00,1e phase,0,0
180,9/8/2020 12:00,1e phase,0,0
