,date,conf,ww_mix,pmer,ff,t,u,vv,ww,nbas,pres,raf10,rr1,rr3
0,2020-09-01 00:00:00,0,1.0,102050,1.6,12.600000000000023,81,30000,1,0.0,100960,2.4,0.0,0.0
1,2020-09-01 01:00:00,0,0.0,102050,1.6,12.600000000000023,81,30000,1,0.0,100960,2.4,0.0,0.0
2,2020-09-01 02:00:00,0,0.0,102050,1.6,12.600000000000023,81,30000,1,0.0,100960,2.4,0.0,0.0
3,2020-09-01 03:00:00,0,2.0,101990,1.1,10.800000000000011,88,25000,2,0.0,100900,1.5,0.0,0.0
4,2020-09-01 04:00:00,0,0.0,101990,1.1,10.800000000000011,88,25000,2,0.0,100900,1.5,0.0,0.0
5,2020-09-01 05:00:00,0,0.0,101990,1.1,10.800000000000011,88,25000,2,0.0,100900,1.5,0.0,0.0
6,2020-09-01 06:00:00,0,3.0,102000,1.8,11.100000000000023,91,25000,3,1.0,100910,5.0,0.0,0.0
7,2020-09-01 07:00:00,0,0.0,102000,1.8,11.100000000000023,91,25000,3,1.0,100910,5.0,0.0,0.0
8,2020-09-01 08:00:00,0,0.0,102000,1.8,11.100000000000023,91,25000,3,1.0,100910,5.0,0.0,0.0
9,2020-09-01 09:00:00,0,1.0,101970,2.9,18.100000000000023,60,19830,1,1.0,100910,5.0,0.0,0.0
10,2020-09-01 10:00:00,0,0.0,101970,2.9,18.100000000000023,60,19830,1,1.0,100910,5.0,0.0,0.0
11,2020-09-01 11:00:00,0,0.0,101970,2.9,18.100000000000023,60,19830,1,1.0,100910,5.0,0.0,0.0
12,2020-09-01 12:00:00,0,0.0,101850,2.6,20.80000000000001,44,21000,0,1.0,100800,6.7,0.0,0.0
13,2020-09-01 13:00:00,0,2.0,101850,2.6,20.80000000000001,44,21000,0,1.0,100800,6.7,0.0,0.0
14,2020-09-01 14:00:00,0,2.0,101850,2.6,20.80000000000001,44,21000,0,1.0,100800,6.7,0.0,0.0
15,2020-09-01 15:00:00,0,3.0,101740,4.0,20.5,41,30000,3,5.0,100690,7.5,0.0,0.0
16,2020-09-01 16:00:00,0,2.0,101740,4.0,20.5,41,30000,3,5.0,100690,7.5,0.0,0.0
17,2020-09-01 17:00:00,0,2.0,101740,4.0,20.5,41,30000,3,5.0,100690,7.5,0.0,0.0
18,2020-09-01 18:00:00,0,2.0,101760,3.0,19.0,47,30000,2,7.0,100700,6.5,0.0,0.0
19,2020-09-01 19:00:00,0,1.0,101760,3.0,19.0,47,30000,2,7.0,100700,6.5,0.0,0.0
20,2020-09-01 20:00:00,0,1.0,101760,3.0,19.0,47,30000,2,7.0,100700,6.5,0.0,0.0
21,2020-09-01 21:00:00,0,1.0,101880,2.7,16.200000000000045,53,30000,1,3.0,100810,4.5,0.0,0.0
22,2020-09-01 22:00:00,0,2.0,101880,2.7,16.200000000000045,53,30000,1,3.0,100810,4.5,0.0,0.0
23,2020-09-01 23:00:00,0,2.0,101880,2.7,16.200000000000045,53,30000,1,3.0,100810,4.5,0.0,0.0
24,2020-09-02 00:00:00,0,3.0,101920,3.2,14.600000000000023,63,30000,3,7.0,100840,4.5,0.0,0.0
25,2020-09-02 01:00:00,0,0.0,101920,3.2,14.600000000000023,63,30000,3,7.0,100840,4.5,0.0,0.0
26,2020-09-02 02:00:00,0,0.0,101920,3.2,14.600000000000023,63,30000,3,7.0,100840,4.5,0.0,0.0
27,2020-09-02 03:00:00,0,2.0,101910,1.4,12.300000000000011,76,30000,2,3.0,100820,2.2,0.0,0.0
28,2020-09-02 04:00:00,0,0.0,101910,1.4,12.300000000000011,76,30000,2,3.0,100820,2.2,0.0,0.0
29,2020-09-02 05:00:00,0,0.0,101910,1.4,12.300000000000011,76,30000,2,3.0,100820,2.2,0.0,0.0
30,2020-09-02 06:00:00,0,1.0,101950,1.7,11.300000000000011,82,11710,1,0.0,100860,3.8,0.0,0.0
31,2020-09-02 07:00:00,0,0.0,101950,1.7,11.300000000000011,82,11710,1,0.0,100860,3.8,0.0,0.0
32,2020-09-02 08:00:00,0,0.0,101950,1.7,11.300000000000011,82,11710,1,0.0,100860,3.8,0.0,0.0
33,2020-09-02 09:00:00,0,2.0,102040,2.3,17.900000000000034,57,30000,2,0.0,100970,4.8,0.0,0.0
34,2020-09-02 10:00:00,0,1.0,102040,2.3,17.900000000000034,57,30000,2,0.0,100970,4.8,0.0,0.0
35,2020-09-02 11:00:00,0,1.0,102040,2.3,17.900000000000034,57,30000,2,0.0,100970,4.8,0.0,0.0
36,2020-09-02 12:00:00,0,3.0,101960,1.9,21.200000000000045,38,30000,3,5.0,100910,4.4,0.0,0.0
37,2020-09-02 13:00:00,0,0.0,101960,1.9,21.200000000000045,38,30000,3,5.0,100910,4.4,0.0,0.0
38,2020-09-02 14:00:00,0,0.0,101960,1.9,21.200000000000045,38,30000,3,5.0,100910,4.4,0.0,0.0
39,2020-09-02 15:00:00,0,1.0,101910,2.6,22.400000000000034,37,30000,1,3.0,100860,5.4,0.0,0.0
40,2020-09-02 16:00:00,0,2.0,101910,2.6,22.400000000000034,37,30000,1,3.0,100860,5.4,0.0,0.0
41,2020-09-02 17:00:00,0,2.0,101910,2.6,22.400000000000034,37,30000,1,3.0,100860,5.4,0.0,0.0
42,2020-09-02 18:00:00,0,0.0,101980,2.4,19.600000000000023,44,49310,0,0.0,100920,3.7,0.0,0.0
43,2020-09-02 19:00:00,0,2.0,101980,2.4,19.600000000000023,44,49310,0,0.0,100920,3.7,0.0,0.0
44,2020-09-02 20:00:00,0,2.0,101980,2.4,19.600000000000023,44,49310,0,0.0,100920,3.7,0.0,0.0
45,2020-09-02 21:00:00,0,3.0,102060,0.5,17.400000000000034,55,46560,3,7.0,100990,0.9,0.0,0.0
46,2020-09-02 22:00:00,0,2.0,102060,0.5,17.400000000000034,55,46560,3,7.0,100990,0.9,0.0,0.0
47,2020-09-02 23:00:00,0,2.0,102060,0.5,17.400000000000034,55,46560,3,7.0,100990,0.9,0.0,0.0
48,2020-09-03 00:00:00,0,3.0,102090,1.0,16.900000000000034,59,25000,3,7.0,101020,1.5,0.0,0.0
49,2020-09-03 01:00:00,0,2.0,102090,1.0,16.900000000000034,59,25000,3,7.0,101020,1.5,0.0,0.0
50,2020-09-03 02:00:00,0,2.0,102090,1.0,16.900000000000034,59,25000,3,7.0,101020,1.5,0.0,0.0
51,2020-09-03 03:00:00,0,3.0,102030,2.0,16.0,67,39080,3,7.0,100960,2.7,0.0,0.0
52,2020-09-03 04:00:00,0,2.0,102030,2.0,16.0,67,39080,3,7.0,100960,2.7,0.0,0.0
53,2020-09-03 05:00:00,0,2.0,102030,2.0,16.0,67,39080,3,7.0,100960,2.7,0.0,0.0
54,2020-09-03 06:00:00,0,3.0,102080,1.4,16.100000000000023,65,25000,3,7.0,101010,2.1,0.0,0.0
55,2020-09-03 07:00:00,0,2.0,102080,1.4,16.100000000000023,65,25000,3,7.0,101010,2.1,0.0,0.0
56,2020-09-03 08:00:00,0,2.0,102080,1.4,16.100000000000023,65,25000,3,7.0,101010,2.1,0.0,0.0
57,2020-09-03 09:00:00,0,3.0,102150,4.8,22.30000000000001,48,30000,3,5.0,101100,8.1,0.0,0.0
58,2020-09-03 10:00:00,0,2.0,102150,4.8,22.30000000000001,48,30000,3,5.0,101100,8.1,0.0,0.0
59,2020-09-03 11:00:00,0,2.0,102150,4.8,22.30000000000001,48,30000,3,5.0,101100,8.1,0.0,0.0
60,2020-09-03 12:00:00,0,1.0,102090,5.2,25.80000000000001,42,30000,1,5.0,101050,9.0,0.0,0.0
61,2020-09-03 13:00:00,0,2.0,102090,5.2,25.80000000000001,42,30000,1,5.0,101050,9.0,0.0,0.0
62,2020-09-03 14:00:00,0,2.0,102090,5.2,25.80000000000001,42,30000,1,5.0,101050,9.0,0.0,0.0
63,2020-09-03 15:00:00,0,3.0,102030,4.6,27.200000000000045,36,30000,3,3.0,101000,7.7,0.0,0.0
64,2020-09-03 16:00:00,0,2.0,102030,4.6,27.200000000000045,36,30000,3,3.0,101000,7.7,0.0,0.0
65,2020-09-03 17:00:00,0,2.0,102030,4.6,27.200000000000045,36,30000,3,3.0,101000,7.7,0.0,0.0
66,2020-09-03 18:00:00,0,2.0,102060,3.1,25.80000000000001,44,47170,2,7.0,101020,5.2,0.0,0.0
67,2020-09-03 19:00:00,0,2.0,102060,3.1,25.80000000000001,44,47170,2,7.0,101020,5.2,0.0,0.0
68,2020-09-03 20:00:00,0,2.0,102060,3.1,25.80000000000001,44,47170,2,7.0,101020,5.2,0.0,0.0
69,2020-09-03 21:00:00,0,2.0,102190,2.7,23.80000000000001,48,48630,2,7.0,101140,4.0,0.0,0.0
70,2020-09-03 22:00:00,0,2.0,102190,2.7,23.80000000000001,48,48630,2,7.0,101140,4.0,0.0,0.0
71,2020-09-03 23:00:00,0,2.0,102190,2.7,23.80000000000001,48,48630,2,7.0,101140,4.0,0.0,0.0
72,2020-09-04 00:00:00,0,2.0,102250,2.3,20.100000000000023,62,59690,2,7.0,101190,3.6,0.0,0.0
73,2020-09-04 01:00:00,0,1.0,102250,2.3,20.100000000000023,62,59690,2,7.0,101190,3.6,0.0,0.0
74,2020-09-04 02:00:00,0,1.0,102250,2.3,20.100000000000023,62,59690,2,7.0,101190,3.6,0.0,0.0
75,2020-09-04 03:00:00,0,3.0,102220,2.9,17.5,72,54850,3,3.0,101150,4.3,0.0,0.0
76,2020-09-04 04:00:00,0,2.0,102220,2.9,17.5,72,54850,3,3.0,101150,4.3,0.0,0.0
77,2020-09-04 05:00:00,0,2.0,102220,2.9,17.5,72,54850,3,3.0,101150,4.3,0.0,0.0
78,2020-09-04 06:00:00,0,1.0,102270,1.7,17.0,77,30000,1,5.0,101200,2.5,0.0,0.0
79,2020-09-04 07:00:00,0,2.0,102270,1.7,17.0,77,30000,1,5.0,101200,2.5,0.0,0.0
80,2020-09-04 08:00:00,0,2.0,102270,1.7,17.0,77,30000,1,5.0,101200,2.5,0.0,0.0
81,2020-09-04 09:00:00,0,0.0,102340,1.9,23.0,60,19860,0,1.0,101290,3.2,0.0,0.0
82,2020-09-04 10:00:00,0,0.0,102340,1.9,23.0,60,19860,0,1.0,101290,3.2,0.0,0.0
83,2020-09-04 11:00:00,0,0.0,102340,1.9,23.0,60,19860,0,1.0,101290,3.2,0.0,0.0
84,2020-09-04 12:00:00,0,3.0,102190,3.3,27.400000000000034,36,30000,3,2.0,101160,8.1,0.0,0.0
85,2020-09-04 13:00:00,0,0.0,102190,3.3,27.400000000000034,36,30000,3,2.0,101160,8.1,0.0,0.0
86,2020-09-04 14:00:00,0,0.0,102190,3.3,27.400000000000034,36,30000,3,2.0,101160,8.1,0.0,0.0
87,2020-09-04 15:00:00,0,2.0,102010,3.1,29.600000000000023,28,30000,2,1.0,100990,6.2,0.0,0.0
88,2020-09-04 16:00:00,0,0.0,102010,3.1,29.600000000000023,28,30000,2,1.0,100990,6.2,0.0,0.0
89,2020-09-04 17:00:00,0,0.0,102010,3.1,29.600000000000023,28,30000,2,1.0,100990,6.2,0.0,0.0
90,2020-09-04 18:00:00,0,2.0,101930,5.1,26.80000000000001,41,23140,2,0.0,100900,8.6,0.0,0.0
91,2020-09-04 19:00:00,0,0.0,101930,5.1,26.80000000000001,41,23140,2,0.0,100900,8.6,0.0,0.0
92,2020-09-04 20:00:00,0,0.0,101930,5.1,26.80000000000001,41,23140,2,0.0,100900,8.6,0.0,0.0
93,2020-09-04 21:00:00,0,0.0,102010,3.2,20.400000000000034,77,32870,0,7.0,100960,5.1,0.0,0.0
94,2020-09-04 22:00:00,0,1.0,102010,3.2,20.400000000000034,77,32870,0,7.0,100960,5.1,0.0,0.0
95,2020-09-04 23:00:00,0,1.0,102010,3.2,20.400000000000034,77,32870,0,7.0,100960,5.1,0.0,0.0
96,2020-09-05 00:00:00,0,1.0,102000,2.8,17.700000000000045,81,34740,1,0.0,100940,4.0,0.0,0.0
97,2020-09-05 01:00:00,0,2.0,102000,2.8,17.700000000000045,81,34740,1,0.0,100940,4.0,0.0,0.0
98,2020-09-05 02:00:00,0,2.0,102000,2.8,17.700000000000045,81,34740,1,0.0,100940,4.0,0.0,0.0
99,2020-09-05 03:00:00,0,3.0,102070,6.0,17.100000000000023,74,25000,3,6.0,101000,9.5,0.0,0.0
100,2020-09-05 04:00:00,0,2.0,102070,6.0,17.100000000000023,74,25000,3,6.0,101000,9.5,0.0,0.0
101,2020-09-05 05:00:00,0,6.0,102070,6.0,17.100000000000023,74,25000,3,6.0,101000,9.5,0.0,0.0
102,2020-09-05 06:00:00,0,60.0,102090,2.8,15.800000000000011,81,40960,60,3.0,101020,4.4,-0.1,-0.1
103,2020-09-05 07:00:00,0,2.0,102090,2.8,15.800000000000011,81,40960,60,3.0,101020,4.4,-0.1,-0.1
104,2020-09-05 08:00:00,0,2.0,102090,2.8,15.800000000000011,81,40960,60,3.0,101020,4.4,-0.1,-0.1
105,2020-09-05 09:00:00,0,3.0,102240,4.9,17.200000000000045,72,37260,3,6.0,101170,7.4,0.0,-0.1
106,2020-09-05 10:00:00,0,2.0,102240,4.9,17.200000000000045,72,37260,3,6.0,101170,7.4,0.0,-0.1
107,2020-09-05 11:00:00,0,2.0,102240,4.9,17.200000000000045,72,37260,3,6.0,101170,7.4,0.0,-0.1
108,2020-09-05 12:00:00,0,1.0,102230,4.0,19.200000000000045,53,19850,1,7.0,101170,7.9,0.0,0.0
109,2020-09-05 13:00:00,0,2.0,102230,4.0,19.200000000000045,53,19850,1,7.0,101170,7.9,0.0,0.0
110,2020-09-05 14:00:00,0,2.0,102230,4.0,19.200000000000045,53,19850,1,7.0,101170,7.9,0.0,0.0
111,2020-09-05 15:00:00,0,0.0,102140,4.0,21.600000000000023,40,35780,0,2.0,101090,8.7,0.0,0.0
112,2020-09-05 16:00:00,0,2.0,102140,4.0,21.600000000000023,40,35780,0,2.0,101090,8.7,0.0,0.0
113,2020-09-05 17:00:00,0,2.0,102140,4.0,21.600000000000023,40,35780,0,2.0,101090,8.7,0.0,0.0
114,2020-09-05 18:00:00,0,3.0,102180,5.0,18.5,52,25000,3,6.0,101110,7.9,0.0,0.0
115,2020-09-05 19:00:00,0,1.0,102180,5.0,18.5,52,25000,3,6.0,101110,7.9,0.0,0.0
116,2020-09-05 20:00:00,0,1.0,102180,5.0,18.5,52,25000,3,6.0,101110,7.9,0.0,0.0
117,2020-09-05 21:00:00,0,1.0,102280,4.1,15.700000000000045,57,25000,1,3.0,101200,6.2,0.0,0.0
118,2020-09-05 22:00:00,0,0.0,102280,4.1,15.700000000000045,57,25000,1,3.0,101200,6.2,0.0,0.0
119,2020-09-05 23:00:00,0,0.0,102280,4.1,15.700000000000045,57,25000,1,3.0,101200,6.2,0.0,0.0
120,2020-09-06 00:00:00,0,3.0,102290,2.0,12.5,71,25000,3,0.0,101200,3.3,0.0,0.0
121,2020-09-06 01:00:00,0,2.0,102290,2.0,12.5,71,25000,3,0.0,101200,3.3,0.0,0.0
122,2020-09-06 02:00:00,0,2.0,102290,2.0,12.5,71,25000,3,0.0,101200,3.3,0.0,0.0
123,2020-09-06 03:00:00,0,1.0,102200,2.2,11.900000000000034,78,37890,1,0.0,101110,2.8,0.0,0.0
124,2020-09-06 04:00:00,0,2.0,102200,2.2,11.900000000000034,78,37890,1,0.0,101110,2.8,0.0,0.0
125,2020-09-06 05:00:00,0,2.0,102200,2.2,11.900000000000034,78,37890,1,0.0,101110,2.8,0.0,0.0
126,2020-09-06 06:00:00,0,0.0,102180,1.7,10.5,86,30570,0,1.0,101080,2.5,0.0,0.0
127,2020-09-06 07:00:00,0,0.0,102180,1.7,10.5,86,30570,0,1.0,101080,2.5,0.0,0.0
128,2020-09-06 08:00:00,0,0.0,102180,1.7,10.5,86,30570,0,1.0,101080,2.5,0.0,0.0
129,2020-09-06 09:00:00,0,1.0,102170,1.6,17.400000000000034,64,25000,1,3.0,101100,3.5,0.0,0.0
130,2020-09-06 10:00:00,0,2.0,102170,1.6,17.400000000000034,64,25000,1,3.0,101100,3.5,0.0,0.0
131,2020-09-06 11:00:00,0,2.0,102170,1.6,17.400000000000034,64,25000,1,3.0,101100,3.5,0.0,0.0
132,2020-09-06 12:00:00,0,3.0,102160,4.6,16.600000000000023,62,38340,3,7.0,101090,7.6,0.0,0.0
133,2020-09-06 13:00:00,0,2.0,102160,4.6,16.600000000000023,62,38340,3,7.0,101090,7.6,0.0,0.0
134,2020-09-06 14:00:00,0,2.0,102160,4.6,16.600000000000023,62,38340,3,7.0,101090,7.6,0.0,0.0
